,,AAPL,AMZN,META,NVDA,TSLA
n_mkt,mean,874.9635036496351,419.77372262773724,249.52007299270073,222.89963503649636,1888.3841911764705
n_mkt,std,616.1354721609348,274.42353054408665,471.32098925919394,277.3106333140579,1284.0683279755178
n_mkt,min,30.0,132.0,34.0,1.0,454.0
n_mkt,25%,511.0,273.0,90.0,70.0,1031.25
n_mkt,50%,722.0,371.5,134.5,131.0,1560.0
n_mkt,75%,1010.25,496.5,219.25,284.25,2239.25
n_mkt,max,6422.0,4756.0,6455.0,3584.0,8105.0
mu_post,count,548.0,548.0,548.0,545.0,544.0
mu_post,mean,0.09153797481434305,0.10876154144736007,0.10080176035100837,0.1546959533712105,0.04618218929699278
mu_post,std,0.04674503805310134,0.0565473914245058,0.08033920308459777,0.09231905620687215,0.03514808514334323
mu_post,min,-0.0392373573896206,-0.0597420123700134,-0.35031411939772,-0.1340874534908017,-0.0589671042563847
mu_post,25%,0.05929072286271017,0.07039255017632425,0.04798773259491107,0.097117586107927,0.023529506026300724
mu_post,50%,0.09203549046160145,0.1059997242473585,0.0963147816891049,0.1523018156149839,0.048470869048565804
mu_post,75%,0.11979746009286148,0.14856869578923923,0.14366121572969356,0.2109305799857423,0.0678885612144593
mu_post,max,0.3323887626480585,0.2993977147975618,0.4404212301473486,0.5679262288528925,0.2141772210130656
sd_post,count,548.0,548.0,548.0,544.0,544.0
sd_post,mean,0.44613651509770064,0.4366000325154062,0.409643921116711,0.4571843376533444,0.37708113051782055
sd_post,std,0.03590510218465842,0.04767803741889801,0.07784319265798749,0.07419259152639368,0.033900506705495916
sd_post,min,0.3091695889750424,0.2531178175020174,0.1365289606509149,0.0001430412574814,0.2863143956733645
sd_post,25%,0.4231114066969874,0.4091822623660311,0.3610676985636728,0.4221044925599893,0.3543777896387037
sd_post,50%,0.4453104356691765,0.4356628427481851,0.4140414254030472,0.45908998587637817,0.3745263426270667
sd_post,75%,0.46847831959743425,0.46675168195727423,0.4622655025331614,0.49731801357270844,0.39890574105131327
sd_post,max,0.6109344830965009,0.581592069158981,0.6423581172554851,0.748404029438897,0.4807410945031547
n_post,count,548.0,548.0,548.0,545.0,544.0
n_post,mean,377.01277372262774,180.29379562043795,118.78102189781022,96.17064220183487,739.4466911764706
n_post,std,472.2672122468461,436.21851378788057,451.7560975847329,275.6712833965056,974.0551397127463
n_post,min,6.0,35.0,11.0,1.0,88.0
n_post,25%,182.0,87.0,37.0,28.0,299.0
n_post,50%,253.0,121.0,52.0,47.0,463.5
n_post,75%,391.25,160.25,78.0,87.0,797.25
n_post,max,5636.0,7834.0,9388.0,4831.0,13687.0
gap,count,548.0,548.0,548.0,548.0,548.0
gap,mean,0.0006581126460010392,0.0012437453253517233,-0.00025067113590461346,0.00219035980359315,0.004019934857443674
gap,std,0.015394884595766321,0.014170928622638228,0.018722867878946992,0.019256544829682358,0.029776826039334365
gap,min,-0.1295823438294757,-0.0803865491509103,-0.2425696783390576,-0.1180451941212731,-0.1489768929586774
gap,25%,-0.0042198219526394,-0.0028628654507128,-0.005141081546748225,-0.005162458714481325,-0.007819305316278126
gap,50%,0.0011948837142531999,0.00152555060386325,0.0008773924320121999,0.0030959858819433004,0.0039226963995927
gap,75%,0.00680087216909865,0.0067286467987073,0.0065399356630826255,0.010914248363248499,0.0154696809066848
gap,max,0.0696018247728238,0.1207169192535007,0.0909168755830223,0.1061481471679741,0.1319999694824218
ret_oc,count,548.0,548.0,548.0,548.0,548.0
ret_oc,mean,0.0010653358204056938,-0.00017116646727481725,0.0005564085676847151,0.0008372618448712721,0.0012879907609055353
ret_oc,std,0.0170392920774067,0.016869627948159934,0.01826858799607764,0.026738126269106655,0.03626808400897521
ret_oc,min,-0.0725786378922202,-0.0487295213461762,-0.0711829332962532,-0.0887583865907613,-0.127897122064536
ret_oc,25%,-0.00788083916662425,-0.009643558292178299,-0.009976835993757325,-0.01295859821452105,-0.017850327252753425
ret_oc,50%,0.0011190944459825,-0.0002535105963798,0.00013697331308345551,0.00045138122605685004,-8.630960322330492e-06
ret_oc,75%,0.011238732948354476,0.009822773525442575,0.01137057631770385,0.017398351692244348,0.019797188693710048
ret_oc,max,0.0665880426018025,0.0823849705217695,0.0865697098098697,0.1300499586491522,0.1578025590504031
ret_cc,count,548.0,548.0,548.0,548.0,548.0
ret_cc,mean,0.0017281035878424292,0.0010586110135604424,0.00032817522046929456,0.003036511413099402,0.0053054433183138605
ret_cc,std,0.023246071158379795,0.021421757080248252,0.02686445806437541,0.0331898137712738,0.046826439548481404
ret_cc,min,-0.128646955965738,-0.0792208251474794,-0.2639009457992695,-0.1845208566564599,-0.2106282432039079
ret_cc,25%,-0.0091749353104463,-0.01066318533519205,-0.012241614953930675,-0.013390868956340476,-0.019551487422150973
ret_cc,50%,0.00086845977313715,0.00117190568141255,0.0009138487043535,0.0032502886641815,0.0026089619416852002
ret_cc,75%,0.014115135595666274,0.011607271779293325,0.01456884965404455,0.022235318534126126,0.027391487928807776
ret_cc,max,0.1198082665473159,0.1353590173571186,0.1023499542542554,0.1715642635902294,0.1989485937639492
y_gap,count,548.0,548.0,548.0,548.0,548.0
y_gap,mean,0.5675182481751825,0.6058394160583942,0.551094890510949,0.614963503649635,0.6058394160583942
y_gap,std,0.4958729580503735,0.48911611858160137,0.4978368988098654,0.48704852862143927,0.48911611858160137
y_gap,min,0.0,0.0,0.0,0.0,0.0
y_gap,25%,0.0,0.0,0.0,0.0,0.0
y_gap,50%,1.0,1.0,1.0,1.0,1.0
y_gap,75%,1.0,1.0,1.0,1.0,1.0
y_gap,max,1.0,1.0,1.0,1.0,1.0
y_oc,count,548.0,548.0,548.0,548.0,548.0
y_oc,mean,0.5291970802919708,0.48905109489051096,0.5036496350364964,0.5054744525547445,0.5
