Date,Ticker,Volume,StockChange,Target,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2025-11-26,TSLA,63463000,0.006203501095667,1,0.0237055961872717,0.4339,0.2143,0.3518,50,0.2196,0.6694,0.6482
2025-11-28,TSLA,36252900,0.0083921730949548,-1,0.0157762266497673,0.6687,0.0776,0.2537,16,0.5911,0.896,0.7463
2025-12-01,TSLA,57463600,0.0113326606818768,-1,0.0196792884723316,0.0,0.0003,0.9997,2,-0.0003,0.1232,0.0003
2025-12-05,TSLA,56427500,0.0043485005982194,-1,0.0159150419939201,0.0,0.5001,0.4999,2,-0.5,0.0,0.5001
2025-12-08,TSLA,69165800,-0.0175886141916658,1,0.0324058545187634,0.0001,0.6768,0.323,3,-0.6767,0.0002,0.677
2025-12-09,TSLA,62367400,0.0174384164506161,1,0.0381450887129391,0.9999,0.0,0.0001,2,0.9999,1.0,0.9999
2025-12-10,TSLA,63257500,0.012060898052942,-1,0.0297487374478528,0.0,0.0001,0.9999,1,-0.0,0.0524,0.0001
2025-12-11,TSLA,55979500,-0.0045884786782092,1,0.0199131355347499,0.0001,0.3341,0.6658,3,-0.3339,0.0004,0.3342
2025-12-12,TSLA,95656700,0.0242585087951635,1,0.0476243533939525,0.0001,0.2835,0.7163,3,-0.2834,0.0005,0.2837
2025-12-15,TSLA,114542200,0.0125042499289782,1,0.0300570579375021,0.3745,0.0015,0.624,8,0.3731,0.9961,0.376
2025-12-16,TSLA,107608100,0.0374198211547485,-1,0.0543614364207632,0.2021,0.2136,0.5843,7,-0.0115,0.4861,0.4157
2025-12-17,TSLA,106490400,-0.0429314477134725,1,0.0595632839694328,0.0234,0.6699,0.3066,4,-0.6465,0.0338,0.6934
2025-12-18,TSLA,95168400,0.0108959164613854,-1,0.037100531408961,0.4999,0.0014,0.4987,2,0.4984,0.9971,0.5013
2025-12-19,TSLA,103305400,-0.0141768068904755,1,0.0323076070872405,0.4975,0.1655,0.337,4,0.332,0.7504,0.663
2025-12-22,TSLA,86916100,-0.0023475011942148,-1,0.0275577689749338,0.7344,0.1176,0.1479,22,0.6168,0.8619,0.8521
2025-12-23,TSLA,58223600,-0.0078463350751549,-1,0.0186555067361599,0.436,0.2169,0.347,32,0.2191,0.6678,0.653
2025-12-24,TSLA,41285400,-0.0063053083454216,-1,0.0288650626154489,0.4713,0.1256,0.4031,28,0.3458,0.7896,0.5969
2025-12-26,TSLA,58780700,-0.0206912357389303,-1,0.0314695889947789,0.3574,0.2101,0.4325,28,0.1473,0.6298,0.5675
2025-12-29,TSLA,66263000,-0.0199573248434168,-1,0.0221748270713952,0.2677,0.3732,0.3591,50,-0.1055,0.4177,0.6409
2025-12-30,TSLA,59238500,-0.0144440428441411,-1,0.0201479290782836,0.3496,0.2823,0.368,50,0.0673,0.5532,0.632
2025-12-31,TSLA,49078000,-0.0139881710095055,-1,0.0158956367090127,0.3461,0.3025,0.3514,35,0.0437,0.5337,0.6486
