Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2026-03-23,JPM,0.4004,0.2018,0.3977,31,0.1986,0.6649,0.6023
2026-03-23,META,0.4999,0.4644,0.0357,2,0.0354,0.5184,0.9643
2026-03-23,MSFT,0.5394,0.2178,0.2428,3,0.3217,0.7124,0.7572
2026-03-23,TSLA,0.666,0.3333,0.0007,3,0.3326,0.6664,0.9993
2026-03-23,UNH,0.5021,0.3707,0.1272,8,0.1314,0.5753,0.8728
2026-03-24,AAPL,0.0006,0.3689,0.6305,3,-0.3683,0.0017,0.3695
2026-03-24,AMZN,0.0991,0.046,0.8549,4,0.0531,0.6831,0.1451
2026-03-24,BRK-B,0.2213,0.2764,0.5023,2,-0.0552,0.4446,0.4977
2026-03-24,GOOGL,0.0126,0.0099,0.9774,3,0.0027,0.56,0.0226
2026-03-24,JPM,0.2924,0.3265,0.3811,31,-0.0342,0.4724,0.6189
2026-03-24,META,0.5421,0.1263,0.3316,4,0.4158,0.811,0.6684
2026-03-24,MSFT,0.1173,0.2165,0.6663,3,-0.0992,0.3514,0.3337
2026-03-24,UNH,0.576,0.24,0.1841,7,0.336,0.7059,0.8159
2026-03-25,AAPL,0.6658,0.0002,0.334,3,0.6655,0.9997,0.666
2026-03-25,AMZN,0.0027,0.0033,0.9941,1,-0.0006,0.4529,0.0059
2026-03-25,GOOGL,0.6659,0.0,0.3341,3,0.6658,0.9999,0.6659
2026-03-25,JPM,0.4126,0.2103,0.3771,24,0.2023,0.6624,0.6229
2026-03-25,META,0.728,0.0011,0.2709,4,0.727,0.9986,0.7291
2026-03-25,MSFT,0.6643,0.3334,0.0022,3,0.3309,0.6658,0.9978
2026-03-25,TSLA,0.3463,0.336,0.3177,3,0.0103,0.5076,0.6823
2026-03-25,UNH,0.4498,0.2375,0.3127,10,0.2123,0.6544,0.6873
2026-03-26,AAPL,0.352,0.2015,0.4465,55,0.1505,0.636,0.5535
2026-03-26,AMZN,0.4977,0.0021,0.5002,4,0.4957,0.9958,0.4998
2026-03-26,BRK-B,0.5,0.0,0.5,2,0.5,1.0,0.5
2026-03-26,GOOGL,0.4923,0.3938,0.1139,2,0.0985,0.5556,0.8861
2026-03-26,JPM,0.2765,0.2145,0.5091,25,0.062,0.5631,0.4909
2026-03-26,META,0.0,0.7469,0.2531,8,-0.7468,0.0,0.7469
2026-03-26,MSFT,0.3336,0.3332,0.3331,3,0.0004,0.5003,0.6669
2026-03-26,TSLA,0.3202,0.3141,0.3657,37,0.0061,0.5048,0.6343
2026-03-26,UNH,0.3503,0.2349,0.4149,10,0.1154,0.5986,0.5851
2026-03-27,AAPL,0.3518,0.2053,0.4429,41,0.1464,0.6314,0.5571
2026-03-27,AMZN,0.2678,0.3643,0.3679,61,-0.0965,0.4237,0.6321
2026-03-27,BRK-B,0.143,0.1473,0.7097,7,-0.0044,0.4925,0.2903
2026-03-27,GOOGL,0.4969,0.2983,0.2048,44,0.1986,0.6249,0.7952
2026-03-27,JPM,0.4558,0.1399,0.4043,32,0.3159,0.7652,0.5957
2026-03-27,META,0.2045,0.4838,0.3117,39,-0.2792,0.2972,0.6883
2026-03-27,MSFT,0.3746,0.3974,0.2279,35,-0.0228,0.4852,0.7721
2026-03-27,TSLA,0.2668,0.3477,0.3855,66,-0.0809,0.4342,0.6145
2026-03-27,UNH,0.3507,0.2188,0.4306,10,0.1319,0.6158,0.5694
2026-03-28,AAPL,0.5084,0.1165,0.3751,8,0.3919,0.8136,0.6249
