lag,strategy,cost_bp,annual_return,sharpe,max_drawdown,win_rate,p_value_mean,mean_daily_pnl,total_turnover,days,positions
5,long_only_055,5,0.030731942981189038,0.16259867629287883,-0.2138709521244877,0.5148936170212766,0.8753657076423194,0.0001219521546872581,235.43333333333334,235,665
5,long_only_055,10,-0.09550039744434288,-0.5057743539179872,-0.22159670927091402,0.4978723404255319,0.6257121331468913,-0.0003789698311283448,235.43333333333334,235,665
5,long_only_055,20,-0.34796507829540674,-1.8441236995924886,-0.3259229444807267,0.425531914893617,0.07623664563740082,-0.0013808138027595505,235.43333333333334,235,665
5,long_only_extreme,5,0.04634609312500219,0.2451950818648871,-0.1912483666768776,0.4978723404255319,0.8130344481786053,0.0001839130679563579,252.53333333333333,235,603
5,long_only_extreme,10,-0.0890547579388276,-0.47187329459314087,-0.19920401236077523,0.4723404255319149,0.6490433576649901,-0.0003533918965826492,252.53333333333333,235,603
5,long_only_extreme,20,-0.3598564600664872,-1.9102107269068418,-0.33700380003257024,0.39148936170212767,0.06635173126487516,-0.0014280018256606635,252.53333333333333,235,603
5,extreme_ls_060,5,-0.07542372485436531,-0.49935756667905984,-0.13601610628968042,0.49361702127659574,0.6301003548792379,-0.0002993004954538306,296.6333333333333,235,933
5,extreme_ls_060,10,-0.2344696823011739,-1.554503818444044,-0.24112226791708624,0.4297872340425532,0.1346636823985626,-0.0009304352472268805,296.6333333333333,235,933
5,extreme_ls_060,20,-0.5525615971947908,-3.665352929945828,-0.42082541668663,0.3446808510638298,0.00048338907752371664,-0.0021927047507729796,296.6333333333333,235,933
5,proportional_ls,5,-0.047337411889784825,-0.325473672054299,-0.1183686374892211,0.4978723404255319,0.7535704139903793,-0.0001878468725785112,269.1086534153172,235,1175
5,proportional_ls,10,-0.1916254558486358,-1.3195719287061989,-0.20664752879617854,0.43829787234042555,0.20382631581463814,-0.0007604184755898246,269.1086534153172,235,1175
5,proportional_ls,20,-0.48020154376633756,-3.309688170282108,-0.37822788826490794,0.3617021276595745,0.0015849685553784632,-0.0019055616816124506,269.1086534153172,235,1175
5,risk_scaled_ls,5,-0.09379757420883386,-0.6556236044086583,-0.14556364292138346,0.46382978723404256,0.5272714404389567,-0.000372212596066801,270.5587003758359,235,1175
5,risk_scaled_ls,10,-0.23886309015502674,-1.670023910628361,-0.23972501777818833,0.425531914893617,0.10815528301237061,-0.0009478694053770902,270.5587003758359,235,1175
5,risk_scaled_ls,20,-0.5289941220474126,-3.6919023624986593,-0.4019528151298136,0.33617021276595743,0.0004407161591938443,-0.002099183023997669,270.5587003758359,235,1175
