Date,Ticker,Target,Volume,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index,Score_Net_Lag1,Score_Net_Lag2,Score_Net_Lag3,Score_Net_Lag5,Volume_Messages_Lag1,Volume_Messages_Lag2,Volume_Messages_Lag3,Volume_Messages_Lag5,Volume_Lag1,Volume_Lag2,Volume_Lag3,Volume_Lag5,Polarite_Index_Lag1,Polarite_Index_Lag2,Polarite_Index_Lag3,Polarite_Index_Lag5,Bullishness_Index_Lag1,Bullishness_Index_Lag2,Bullishness_Index_Lag3,Bullishness_Index_Lag5,Volatility_20d,Volume_Avg20d
2025-05-30,GOOGL,1,52639900,0.0278377829153929,0.5,0.0,0.4999,2,0.5,1.0,0.5001,1.0,-0.0,0.0001,-0.2631,1.0,1.0,3.0,3.0,37995700.0,35211400.0,73416000.0,30426100.0,1.0,0.0,0.6667,0.4172,1.0,0.0284,0.5001,0.1847,0.022648449382302427,45620600.0
2025-05-30,JPM,1,10977700,0.0098689522317968,0.0002,0.4518,0.548,2,-0.4516,0.0005,0.452,-0.0,0.2419,-0.4618,-0.0,1.0,1.0,4.0,1.0,7506600.0,6671800.0,8436300.0,8932900.0,0.0,0.2421,0.4921,0.0001,0.4279,0.9996,0.0308,0.2673,0.01728522157269611,11996850.0
2025-05-30,MSFT,1,34770500,0.0133559212445744,1.0,0.0,0.0,1,1.0,1.0,1.0,0.9978,0.9975,0.8658,1.0,1.0,1.0,1.0,1.0,13974800.0,18025600.0,23849800.0,23491300.0,1.0,0.9975,0.8659,1.0,0.9989,1.0,0.9999,1.0,0.02557244574634487,25293790.0
2025-05-30,TSLA,0,123474900,0.051727004666824,0.5007,0.499,0.0003,2,0.0017,0.5009,0.9997,0.3902,1.0,-0.0002,0.283,2.0,1.0,1.0,2.0,88087800.0,91404300.0,120146400.0,102354800.0,0.3905,1.0,0.0003,0.4907,0.9996,1.0,0.1407,0.7884,0.032539436765580215,118959540.0
2025-05-30,UNH,1,16309300,0.032889278351508,0.0002,0.0011,0.9987,1,-0.0009,0.1605,0.0013,0.5603,0.4761,0.2267,1.0,2.0,2.0,2.0,1.0,16221100.0,16114200.0,20144600.0,62524700.0,0.9576,0.4827,0.7808,1.0,0.7926,0.9932,0.6452,1.0,0.032995835645408554,25257675.0
2025-06-02,AMZN,1,29113300,0.0210752630220606,1.0,0.0,0.0,1,1.0,1.0,1.0,0.646,-0.0001,0.9108,1.0,2.0,1.0,1.0,1.0,51679400.0,34650000.0,28549800.0,33393500.0,0.6475,0.0001,0.9109,1.0,0.9988,0.1758,0.9999,1.0,0.01313787802737332,46445335.0
2025-06-02,BRK-B,1,4914000,0.007494537919352,0.0002,0.0002,0.9996,2,0.0,0.5473,0.0004,-0.0041,-0.0101,-0.3945,-0.0,2.0,4.0,1.0,2.0,9153100.0,3656000.0,3166800.0,3815800.0,0.0048,0.4715,0.3959,0.0,0.0699,0.4893,0.0018,0.2127,0.007292054002831999,5297135.0
2025-06-02,JPM,1,6011200,0.011900254785007,0.0005,0.2063,0.7931,1,-0.2058,0.0026,0.2069,-0.4516,-0.0,0.2419,0.2237,2.0,1.0,1.0,4.0,10977700.0,7506600.0,6671800.0,12145000.0,0.452,0.0,0.2421,0.7323,0.0005,0.4279,0.9996,0.6527,0.017234463586119953,12129310.0
2025-06-02,META,1,15766300,0.0450038010223073,0.0032,0.0,0.9968,1,0.0031,0.9958,0.0032,-0.0,0.9975,0.7247,0.9486,1.0,1.0,1.0,1.0,8858800.0,8228400.0,18519000.0,12348200.0,0.0,0.9975,0.7341,0.9692,0.4141,1.0,0.9936,0.9894,0.026496964447722083,18050390.0
2025-06-02,UNH,1,19074400,0.0415016718623334,0.3042,0.0012,0.6946,3,0.3031,0.9962,0.3054,-0.0009,0.5603,0.4761,-0.339,1.0,2.0,2.0,3.0,16309300.0,16221100.0,16114200.0,45506900.0,0.0013,0.9576,0.4827,0.3391,0.1605,0.7926,0.9932,0.0002,0.0330620604817663,25915985.0
